,Job_Title,Company,Salary,Location,Full_Description
164,Graduate Software Engineer,IMC Financial Markets,,"Chicago, IL","Are you someone who is passionate about challenging the status quo?

Do you enjoy the process of problem solving, a process where you recognize areas of improvement and iterate and innovate to improve? Does your curiosity and desire to learn drive you?
ROLE OVERVIEW:
If so, then join IMC as a Software Engineer! Why? Because here you‘ll not simply write software or design technology. You will be responsible for spotting new opportunities, developing new technologies and solving problems. As a result, your development skills will enable you to actually deliver results and make a difference. IMC knows that having the best software is what drives our business. Software development here is innovative, pragmatic and fun, even as complexity grows. We are looking for talented Software Engineers who will drive the development of cutting-edge trading algorithms to further our business.
HOW WE WORK:
• Agile software development with continuous integration and delivery
• Frequent peer code reviews
• Collaborative cross-functional culture with emphasis on continuous improvement and innovation
• Local autonomy with global input and best practices

YOUR FIRST SIX MONTHS:

You will start your career at IMC with an international traineeship, in at least two of our global offices, after which you will be mentored by one of our seasoned Software Engineers. On a day to day basis you will work directly with traders, quants and other engineers to bring our trading strategies and platform to the next level. Your responsibility does not stop at programming; it also encompasses knowledge building of our trading platform and software stack and building expertise within the entire software development lifecycle. You will have continuous opportunities to learn new technologies and programming languages in our dynamic environment. At IMC, we foster a supportive environment allowing you the freedom to contribute and assume real responsibility, even on day one.
WHAT WE LOOK FOR:
• BA/BSc/MA/MSc in Engineering, Computer Science with a minimum 3.0 GPA
• Strong analytical skills and desire to solve complicated problems programmatically
• Must have strong knowledge of algorithms and data structures
• Must have proficient experience in a programming language (Java or C++ preferred)
• Willingness to interact and work closely with non-engineers in a constantly changing environment
• Interest in the Financial Markets; previous knowledge is NOT required
IMC OVERVIEW:
IMC is among the world’s leading proprietary trading firms, and a market maker in securities listed on exchanges across the globe. Our cutting-edge technology drives everything we do. High performance algorithms, smart strategies and collaborative teams are the core of our business.

Today, IMC is 500+ people working together to build software and trade financial products in our offices in Amsterdam, Chicago and Sydney. What does this mean for you? The chance to join a multi-national, multi-cultural team of exceptional individuals, focused on making IMC the world’s best trading firm."
165,Apple Online Store: Software Quality Engineer,Apple,,"Austin, TX 78758","Summary
Posted: Aug 12, 2019
Role Number: 200087325
The QA team here in Austin is growing. We are looking for a passionate and hardworking Software Test Engineer to join our core team of test engineers for the Apple Online Store. You are ambitious and able to succeed in a dynamic environment where curiosity and creativity is welcomed. You are inventive and focused in your approach to how you work and resolve problems within project deadlines.
We need someone who is open to working in an exciting environment with rapidly changing priorities. This person will be creative and inspired to invent new ways to help build better products.
Key Qualifications
7+ years of experience in Quality Engineering, with focus in e-commerce/web applications testing
You have a real passion for product quality and uncovering hard to find scenarios and bugs. You have high attention to detail and good at finding edge cases.
You are familiar with Agile development processes and testing methodologies, and you can scope/prioritize testing responsibilities.
You have good communication, organization and coordination skills.
You have strong analysis, problem solving, and troubleshooting techniques.
You have experience prioritizing problems in problem tracking software applications.
You don't mind working independently.
Description
You will work with the Agile team to test features and functionalities to ensure high quality delivery for each sprint that conforms to user story acceptance criteria.
You are responsible for testing, solving and debugging features that are developed.
You will be building test plans and detailed test cases.
You work closely with product design and product management teams to understand requirements and translate them to test plans for functional and regression testing.
You will communicate detailed QA status reports and issues in a timely manner.
You will analyze crash logs, backtraces and assist engineers by utilizing basic debugging techniques.
Education & Experience
Computer Science degree or equivalent Engineering degree, with 7 years of industry experience
Additional Requirements
Knowledge of test automation tools or scripting would be a plus (Selenium, JUnit, TestNG, JavaScript, SQL)"
166,Software Development Engineer,"Amazon.com Services, Inc.",,"Santa Monica, CA","Programming experience with at least one modern language such as Java, C++, or C# including object-oriented designBachelor’s degree in computer science or a related field1+ years experience writing production code of increasing complexityComputer Science fundamentals in object-oriented design, data structures, algorithm design, problem solving, and complexity analysisProficiency in, at least, one modern programming language such as C, C++, Java, Python, Scala, Ruby, etc.Experience influencing software engineering best practices within your team, including design reviews, coding standards, code reviews, source control management, build processes, testing, and operations

Prime Video enables the world to watch video instantly, from any device, whether on the road or a living room sofa. We are disrupting the entertainment industry by delivering Millions of titles across 240 territories, with hundreds of languages, all delivered at Amazon-scale and consistent reliability to delight our customers.We operate in the US, Japan, UK, Germany, and Austria, and aspire to grow - a lot.
We are looking for talented Software Development Engineers who can contribute to our world-class engineering culture. We deliver meaningful results for customers while simultaneously investing in each team member's career and overall skill set. Domain-specific skills in video can be learned on the job.

At Amazon, every engineer has the opportunity to positively impact millions of customers, and you will be called on to identify and realize these opportunities.

Work with the team to help drive business decisionsDesign, implement, test, deploy and maintain innovative software solutions to transform service performance, durability, cost, and security.Use software engineering best practices to ensure a high standard of quality for all team deliverablesWrite high quality distributed system softwareWork in a fast-paced, agile, startup-like development environment
You will be encouraged to see the big picture, be innovative, and positively impact millions of customers. This is an evolving business where creativity and drive can make a lasting impact on world-wide consumer entertainment.

Successful candidates for this position will adapt quickly to new development environments and changing business requirements, learn new systems, gain new skills, create reliable & maintainable code, and find creative, scalable solutions to difficult problems.
We are looking for candidates who are passionate about delivering consistently great experiences within a world-class engineering team.

Computer Science fundamentals in object-oriented design, data structures, algorithm design, problem solving, and complexity analysisProficiency in, at least, one modern programming language such as C, C++, Java, Python, Scala, Ruby, etc.Experience influencing software engineering best practices within your team, including design reviews, coding standards, code reviews, source control management, build processes, testing, and operationsExperience taking a lead role in developing complex software systems that have been successfully launched to customersExperience and passion for driving systemic operational improvementsExperience working with cross-functional teams including communicating with other technical teams, product management, and senior managementTrack record of developing web services or other distributed systemsTechnically fearless and have experience working on front-end or services development
Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.

Pursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records."
167,CRD Software Engineer I - Wealth Management,State Street,,"Burlington, MA","Software Engineers will work on developing the user interface (C#) and/or related server side systems (Java) of the Charles River Investment Management System. Positions involve highly technical development helping to build functionality for the system and working on new product development. This role promotes growth in technical areas, as well as expertise in the financial market space.
Responsibilities:
Understand and develop user interfaces and server side systems for complex securities and trading software
Work closely with internal product teams and be capable of spanning Java and/or C# technologies
Work in a dynamic, fast-paced (agile) environment similar to a start-up company
Requirements:
Bachelor’s or Master’s degree in Computer Science or related
Strong academic credentials (high GPA, internship experience ideal)
Some level of programming skills in Java, C#, SQL, Perl, XML, etc.
Exposure to concepts including: agile/scrum, object oriented programming, software engineering techniques, parallel programming, databases, unit testing, etc.
Strong work ethic with ability to ramp up quickly
Excellent communication skills (verbal and written), good interpersonal skills, ability to gather and understand requirements in the financial sector
Flexibility
Ability to work in a very fast paced environment
Exposure to commercial software, developing multi-tier enterprise software solutions
Any exposure or knowledge of the financial industry is a strong plus, but not required"
168,Software Test Engineer - Manual,Zoll Medical Corporation,,"Chelmsford, MA 01824","Overview
ZOLL Medical is a growing, innovation-driven company on the forefront of delivering medical devices to save lives, and software solutions to improve efficiency. With customers in more than 140 countries, we continue to expand our reach, as well as our product offerings. Hospitals, emergency medical services (EMS), and others trust us to provide high-quality products and exceptional customer service. ZOLL products are used every day across the globe to save the lives of people who suffer sudden cardiac arrest. From Real CPR Help® technology—an industry first—to the world’s only wearable defibrillator, our capabilities and features set us apart. But none of this would be possible without the motivation and dedication of ZOLL employees, and we’re invested in their success.

As part of a development team, you’ll be enhancing the feature set of our world class defibrillator products. We are looking for a strong, versatile candidate who takes initiative to continuously improve what they do in an effort to meet our customers' needs. We offer the challenge of working in a small team environment where your opportunity to contribute is great, and your energy and expertise can help you to reach your full potential. Join our team of talented engineers to help create software that saves lives!

Job Summary: This Software Test Engineer position is an individual contributor and develops manual test procedures. He or she is expected to be knowledgeable of and follow industry standard development practices in a regulated product development environment.
Responsibilities
The responsibilities for this position include, but are not limited to:
Design, develop and support unit, integration and verification tests for an embedded software application
Interface and collaborate as part of the software development team to report and aid diagnosis of issues.
Review and provide input to software designs to aid manual testing.
Participate in the software development life cycle including maintaining test protocols and requirement tracing.
Follows standard operating procedures and software test engineering best practices

Qualifications
3+ years of software development or Manual testing experience
Experience with SDLC tools including bug tracking and code repository
Experience with embedded software development or testing is preferred
Experience with Scrum is helpful, but not required
Experience with medical device development or testing is helpful, but not required
Strong written & verbal communication skills
Candidate need to come with positive attitude and affinity for teamwork, logic, innovation, imitative and self –sufficiency

Education and Experience:
BS in computer science or engineering discipline is required

Other Duties:

Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties, or responsibilities that are required of the employee for this job. Duties, responsibilities, and activities will be reviewed periodically as duties and responsibilities change with business necessity. Essential and marginal job functions are subject to modification.
ZOLL Medical Corporation appreciates and values diversity. We are an Equal Opportunity Employer M/F/D/V."
169,Software Test Engineer,"Tyler Technologies, Inc.",,"Seattle, WA","We've built a team of not just the best engineers, but some really awesome humans as well. This team builds cloud software (platform + apps + ecosystem) to accelerate the flow of government data into the hands of public servants, citizens, developers, businesses and researchers. This means a few things:
We are solving some pretty cool data problems. For example, how do you extract, host and visualize every taxi ride in NYC so that anyone, anywhere can access it?
What we do matters. New York, Seattle, San Francisco and 300+ other cities, states and counties use us to connect public servants and citizens with information that matters to their day to day life.
We are the global market leader with double digit, sustainable growth
We are looking for an innovative and results-oriented Software Test Engineer (STE). Our STEs test cutting edge applications and products at the user level both manually and (optionally) with automated tools. Our STEs are not just pure black box testers. They are able to understand software internals, debug problems using log files, and, depending on experience or interest, may write automated tests with scripting tools and/or user-level automated tools. We tend towards the context-driven testing approach in our work.
How We Act
How we act with each other and our clients embodies the core values and our code of conduct:
We value big ideas and creative execution
We build open and honest relationships
We are results driven and accountable
We celebrate success together
We aspire to be remarkable
We take individual responsibility for the success of every client
Do you share our values? Is this the kind of environment where you'll feel empowered to do your best and most meaningful work?
About Us
Tyler Technologies (NYSE: TYL) is a leading provider of end-to-end information management solutions and services for local governments. Tyler partners with clients to empower the public sector - cities, counties, schools and other government entities - to become more efficient, more accessible and more responsive to the needs of their constituents. Tyler's client base includes more than 15,000 local government offices in all 50 states, Canada, the Caribbean, Australia, and other international locations. In 2017, Forbes ranked Tyler on its """"Most Innovative Growth Companies"""" list, and Fortune included Tyler on its """"100 Fastest-Growing Companies"""" list. Headquartered in Plano, Texas, Tyler has more than 4,200 employees in multiple divisional and regional offices across the U.S. You can learn more about Tyler Technologies at www.tylertech.com.
Competitive salary including a 401K with employer match, employee stock purchase plan as well great health benefits are offered. Qualified applicants are encouraged to apply right here!
Tyler Technologies is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, sex, sexual orientation, gender identity, national origin, disability, veteran status, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Tyler Technologies will not tolerate discrimination or harassment based on any of these characteristics. Tyler Technologies encourages applicants of all ages.
We aspire to be remarkable: in the culture we create, the products we build, and the services we deliver. We believe a diverse team that embodies many different backgrounds and experiences is necessary for us to be the best we can be. Within the division, we pursue a culture of inclusivity by identifying and removing aspects of our culture that stop people from being able to do the best work of their lives in physical and emotional safety, while being their authentic selves. We seek diversity, equity, and inclusion across our organization and in our daily work as individuals.
We understand change takes time and that we still have work to do, and we are committed to making continual progress.
Work with our transformative data solutions that help agencies address mission-critical outcomes. Our cloud-based data platform, open data solutions, and performance management solutions help agencies improve performance, transparency, and public engagement.
Location
Seattle, Washington

Responsibilities
Create test plans and test matrices based off business and functional requirements
Perform manual test case execution
Organize cross team “bug bashes”
Create, manage and triage defects
Understand backend infrastructure and design
Troubleshoot issues experienced during testing
Provide daily and weekly status reporting
Comprehend and understand testing requirements
Ensure strong attention to detail and be able to accomplish a wide variety of tasks
Follow written and verbal instructions from client and leads
Understand and use JIRA for test case management, creation and execution
Archive all test documentation as directed
Qualifications
What you bring to this position:
BE in Computer Science or equivalent combination of experience in a technical role of minimum 1 year, ideally with demonstrated QA experience in an STE or QA Engineer role
Excitement, not just willingness, to get out of our seat and talk to developers to gather requirements, understand systems, and scope the bugs you find – essentially the drive to “unblock” yourself and always ask for help when needed.
Expertise in test methodologies and test processes
Ability to understand technical specifications and generate test cases from them
Comfort communicating cross-functionally and across management levels in formal and informal settings
Comfort working in an often ambiguous area
Strong organizational skills, ability to track multiple test executions simultaneously and synthesize the results
Even more awesome would be:
Experience automating test cases (if you don't have this, don't worry. We can teach you)"
170,Entry-Level Software Engineer,Surface Optics Corporation,,"San Diego, CA 92127","Surface Optics Corporation is currently seeking a software engineer with strong C/C++/C#/Python development skills on Windows/VS platforms to support our growing line of multi-spectral imaging products. The Entry-Level Software Engineer will work primarily in the Research and Development group, focusing on developing cutting edge operational, calibration and post-processing software.
Duties and Responsibilities include the following. Other duties may be assigned.
Structured design and coding of new application software under version control
Modifies, updates and performs maintenance of existing application base
Graphical User Interface design
Documentation including manuals
Software function and System Performance Testing
Internal and External User Support
Maintain product and company reputation by complying with government regulations
Work closely and effectively with a multi-disciplinary team
Contribute to white papers and proposal efforts
Support test events and demonstrations as needed
Mandatory attendance at all-hands SOC safety, security and HR meetings.

Qualifications:
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Language Ability:
Ability to read, analyze, and interpret common scientific and technical journals, financial reports, and legal documents. Ability to respond to common inquiries or complaints from customers, regulatory agencies, or members of the business community. Ability to write speeches and articles for publication that conform to prescribed style and format. Ability to effectively present information to top management, public groups, and/or boards of directors. Have strong interpersonal, organizational skills, and good communications skills in English, both oral and written.
Math Ability:
Ability to apply advanced mathematical concepts such as exponents, logarithms, quadratic equations, and permutations. Ability to apply mathematical operations to such tasks as frequency distribution, determination of test reliability and validity, analysis of variance, correlation techniques, sampling theory, and factor analysis.
Reasoning Ability:
Ability to define problems, collect data, establish facts, and draw valid conclusions. Ability to interpret an extensive variety of technical instructions in mathematical or diagram form and deal with several abstract and concrete variables.
Computer Skills:
To perform this job successfully, an individual should proficient in Windows application development in C/C++/C#/WinForms/WPF. Proficient in Python. Experience with Linux is highly desired. Experience with image processing in Python, OpenCV, CUDA, NVIDIA VisionWorks, etc. is highly desired.
Education/Experience:
BS in software engineering or more than 4 years’ programming experience on the job.
Physical Demands:
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
While performing the duties of this job, the employee is regularly required to use hands. The employee is frequently required to sit. The employee is occasionally required to stand; walk; reach with hands and arms; climb or balance; stoop, kneel, crouch or crawl; and talk or hear. The employee must occasionally lift and/or move up to 50 pounds.
Work Environment:
The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
While performing the duties of this job, the employee is occasionally exposed to work near moving mechanical parts and outdoor weather conditions.
The noise level in the work environment is usually moderate."
171,Software Engineer,Apple,,"Santa Clara Valley, CA 95014","Summary
Posted: Aug 15, 2019
Weekly Hours: 40
Role Number: 200090185
Apple Media Products (AMP) first delighted users with downloadable music in April 2003 with the opening of the iTunes Store. Since then, AMP has delivered countless innovations around the digital delivery of audio and video, and in 2008 revolutionized smartphone app distribution with the launch of the App Store.
Being the source for so much digital content requires maintaining relationships with a vast number of providers, from record labels to movie studios to app developers. The Digital Supply Chain Engineering team (DSCE) is responsible for ensuring that new content is uploaded, processed, cataloged, and available on our storefronts when the provider expects it to be, and with the highest quality.
We are looking for an experienced software engineer to join our team dedicated to system evolution across DSCE. As with any software that has lasted more than 15 years, there are always opportunities to leverage new technology to improve performance, use fewer resources, simplify operations, and more. Our mission is to make engineers more productive while building efficiency and quality into our systems. This is a high-leverage, high-impact role that will expose you to all the systems Apple uses to process digital content for delivery to well over a billion people worldwide!
Key Qualifications
Excellent verbal and written communication skills. You will be helping other teams learn how to get the best out of our platforms and services.
Experience deploying software on elastic platforms such as Kubernetes, EC2, Mesos, etc.
Understanding of distributed computing concepts like sharding, queues, consensus and service discovery.
Strong interest in large scale, 24/7 distributed systems.
Strong development skills in an OO language. We use Java.
Description
Apple Infrastructure Team is seeking a Software Engineer to build a new platform that will be used by thousands inside Apple. Do you fear having impact? Not the right team for you.
We're a team of consummate tech geeks who love figuring out how things work and trying to make them better. Sometimes it's a little tweak, sometimes it's a fundamental shift - usually it's somewhere in between. We brainstorm on whiteboards, share ideas at team lunches and pot-lucks, build prototypes, present proposals to teams, embed for a while to help them get started, check the metrics, and repeat!
Education & Experience
BS or MS in Computer Science or equivalent work experience."
172,Software Engineer - Entry Level,Open Text Corporation,,"Addison, TX","OPENTEXT - THE INFORMATION COMPANY

As the Information Company, our mission at OpenText is to create software solutions and deliver services that redefine the future of digital. Be part of a winning team that leads the way in Enterprise Information Management. #LI-POST
The opportunity:
Want to work on something that will fundamentally change an enterprise market? How about building the next generation Contact Center Recording and Big Data Analytics platform?

This position requires an individual with strong technical and analytical skills, robust background in technology, design and architecture expertise, and excellent communication.

The OpenText WFO Software group was formerly etalk Corporation, a recognized innovator in the Workforce Optimization (WFO) space. HP WFO Software group introduced one of the first contact center quality monitoring systems and invented the phrase *Your call may be monitored for quality purposes-. Over the years, the group has continued to innovate including the introduction of the first contact center speech analytics system as well as patented SIP recording. Today, the software developed by this group powers some of the largest contact centers in the world.

This position will be based in Addison, Texas at the worldwide headquarters for OpenText WFO Software.
You are great at:
Design enhancements, updates and programming changes for portions and subsystems of enterprise class application softwareAnalyzes design and determines coding, programming and integration activities required based upon general objects and knowledge of overall architecture of product and solutionsWrites and executes testing plans, protocols and documentation for assigned portion of applicationIdentifies, debugs and creates solutions for issues with code and integration into application architectureParticipates in team of other software application engineers to develop reliable, cost effective and high quality solutionsCollaborates and communicates with management and internal development partners regarding software application design status, project progress and issue resolutionRepresents the software applications engineering team for all phases of larger and more-complex development projects
What it takes:
Recent Bachelor or Master Degree in computer science, software engineering, computer engineering, information systems or related fields.Experience with developing front-end web applications is preferred.Experience with browser side development (DHTML/HTML5, CSS, JavaScript, AJAX, JSON).Experience with JavaScript is a plusExperience using software application design tools, source control tools, build environments and languages.Strong analytical and problem solving skills.Excellent written and verbal communication skills.
At OpenText we understand and value diversity in our employees and are proud to be an Equal Opportunity Employer. We hire the best talent regardless of race, creed, color, national origin, ancestry, disability, marital status, sex, age, veteran status or sexual orientation. If you require accommodation at any time during the recruitment process please email accommodationrequests@opentext.com. Applicants have rights under Federal Employment Laws including but not limited to: Family and Medical Leave Act (FLMA), Equal Employment Opportunity and Employee Polygraph Protection Act"
173,Software Engineer - Winter Intern - Machine Learning,Yelp,,"San Francisco, CA 94102","Yelp has hundreds of millions of pieces of user-contributed content, millions of users and business listings, and hundreds of thousands of advertising customers–and all of these are constantly growing. Yelp’s machine learning engineers turn raw data into valuable signals by building end-to-end ML systems, from feature ETL to deploying predictive models in production, as well as by building the ML platforms that these models rely on. These systems power applications like search ranking, ads targeting, push notifications, and photo understanding. Our data teams banter about Bandits, know their way down a Gradient, and aren’t too Naïve to kick back in our Bay(es) Area offices.

Yelp engineering culture is driven by our values: we’re a cooperative team that values individual authenticity and encourages “unboring” solutions to problems. We enable all new team members to deploy working code their first week, and your impact will only grow from there with the support of your manager, mentor, and team. At the end of the day, we are all about helping our users, growing as engineers, and having fun in a collaborative environment.
What You Will Do:
Work with the team to come up with creative ideas for new products and signals, then carry those ideas all the way to launch
Explore data to measure the impact of your changes and come up with ideas for how to maximize that impact
Work closely with infrastructure engineers to make sure that your algorithms will effectively scale to large datasets and to ensure that their systems provide the flexibility needed for your ideas.
What Are We Looking For:
Passion for big data and creative ideas for what to do with it
Experience with the algorithms and data structures to make your ideas workableUnderstanding of machine learning and information retrieval
Expertise in your favorite modern programming language: Python, Ruby, Java, Objective-C, or C++
Ready to start working in the 2019 calendar year in Yelp HQ, SF!
Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.


At Yelp, we believe that diversity is an expression of all the unique characteristics that make us human: race, age, sexual orientation, gender identity, religion, disability, and education — and those are just a few. We recognize that diverse backgrounds and perspectives strengthen our teams and our product. The foundation of our diversity efforts are closely tied to our core values, which include “Playing Well With Others” and “Authenticity.”

We’re proud to be an equal opportunity employer and consider qualified applicants without regard to race, color, religion, sex, national origin, ancestry, age, genetic information, sexual orientation, gender identity, marital or family status, veteran status, medical condition or disability.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

We are committed to providing reasonable accommodations for individuals with disabilities in our job application process. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-recruiting@yelp.com or 415-969-8488.

Note: Yelp does not accept agency resumes. Please do not forward resumes to any recruiting alias or employee. Yelp is not responsible for any fees related to unsolicited resumes."
174,Software Engineer Intern (Summer 2020),Wolverine Trading,,"Chicago, IL 60604","Software Engineer Intern (Summer 2020)

Software Engineer Intern (Summer 2020) at Wolverine Trading
What You’ll Do
As a Wolverine Engineering Intern, you’ll with work with top engineering professionals to build and deploy custom trading applications using mainly C++ or C#. You’ll get to experience what life is like as a full-time software engineer and learn coding skills that will last long after your internship ends. You’ll deploy a system that will have an immediate impact and leave your end users thanking you as you walk into the Wolverine kitchen for lunch. Afraid you won't be a fit because you don't know about the trading industry? No worries. Wolverine offers classroom education, hands-on training, and mock trading. Wolverine provides fully furnished apartments that are located close to the office, making your morning commute quick and easy. When you’re not at work, you’ll have an opportunity to connect with your colleagues throughout the summer during one of our many social activities designed to give you a taste of life in Chicago!
What We Look For
Pursuing a bachelor’s or master’s degree in computer science or computer engineering and have an expected graduation date between December 2020 and June 2021.
Solid understanding of object-oriented design and development.
Knowledge of C++, C#, .NET framework and SQL.
Excellent problem-solving skills.
3-month commitment.
About Wolverine
Founded in 1994, the Wolverine companies comprise a number of diversified financial institutions specializing in proprietary trading, asset management, order execution services, and technology solutions. We are recognized as a market leader in derivatives valuation, trading, and value-added order execution across global equity, options, and futures markets. With a focus on innovation, achievement, and integrity, we take pride in serving the interests of both our clients and colleagues. The Wolverine companies are headquartered in Chicago with offices in New York and San Francisco and a proprietary trading affiliate office located in London.
Sponsorship is not available for this position.





Are you a returning applicant?


Previous Applicants:

Email:

Password:




If you do not remember your password click here."
175,Software Engineer,Cisco Careers,,"San Jose, CA","An expert on the overall code flow, given a set of software requirements for the component, is able to independently drive the SFS, implementation, test and sustain the functionality.
Be responsible for design and development efforts by initiating and consulting on original and creative technical efforts.
Come up with new innovations/feature/functionality in the assigned core software area and help define internal technical roadmap of the component.
Working with senior leads in assigned areas to determine or create technical approaches to satisfy product development.
Influences and/or changes the thinking of, or gains acceptance of, others. Interfaces cross-functionally and leads collaboration extending beyond the work group
Responsible for technical content of design reviews and code walkthroughs.
Help engineers find ways to solve new problems.
Work with various cross-functional groups such as product management, other development teams, QA, and documentation
Develop management applications for network equipment that includes switches, routers, firewalls, load balancers and the various virtualized appliances
For years, Cisco's vision has been to change the way the world works, lives, plays, and learns. Our vision is more relevant today than ever. Cisco's strategy articulates cutting edge solutions that combine compute, storage, and networking resources in order for our customers to rapidly enable services that incorporate Software Defined Networking (SDN), Network Function Virtualization (NFV) and integrate into multiple cloud providers.
If you are a developer whose passion lies in utilizing the latest software technologies in a DevOps model to embark on this new era of network service orchestration, then this role in the NSO organization is for you. This position will be a part of the US engineering team within the Network Service Orchestrator (NSO) group. The team is responsible for the use and development of the Cisco NSO product to orchestrate Cisco's latest solution offerings."
176,"Software Engineer, Game Generalist - Turn 10 Studios",Microsoft,,"Redmond, WA","Turn 10 Studios, world leaders in AAA racing entertainment, are looking for a game development generalist to help us build cross-platform titles. You will have the chance to work across the tech stack as we share client and server technology across titles, platforms, and game engines. As part of Turn 10 Publishing, you will work with both internal engineers and our remote partners to integrate new technologies, prototype features, and otherwise supplement our engineering team.
Responsibilities
As a publishing developer, you would be responsible for a variety of engineering tasks across multiple games and partner teams. Common tasks include cross-platform middleware integration, services development and integration, and design and implementation of game mode prototypes. You will partner with our small team of development leads, designers, and artists though all phases of our game development cycle. You should enjoy working with a team, but be able to work independently.
Qualifications
Qualifications:
B.S. in Math/Computer Science, or related field, or equivalent experience
Excellent communication and teamwork skills – success will come through collaboration
A strong background in C++ game development
A passion for code quality
Ideal candidates will have most of the following:
Experience in all phases of product cycles, from concept to launch and beyond.
Experience in C# or Java
Experience in Unreal Engine and/or Unity
Experience porting code between platforms
Experience in multiple areas of concentration (e.g. rendering, gameplay, content pipelines, services, performance, etc.)
Experience debugging codebases developed by others

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.

XGAXBST10"
