,Title,Location,Qualifications,Skills,Responsibilities,Education,Requirement
541,"2020 Intern - Junior Data Scientist Intern, Chief Analytics Office","Armonk, NY 10504",None Found,None Found,"Strong command of Microsoft Excel and PowerPoint
Experience with Python, R, SQL, or another programming language
Understanding of database and analytical technologies in the industry
Experience or coursework in machine learning and/or natural language processing
Familiarity with statistical modeling through software (e.g. SPSS) or programming language (e.g. Python)
Demonstrated ability to think strategically about business, product and technical challenges in an enterprise environment
Strong oral and written communication skills
Ability to collaborate in a team environment
Live or be willing to relocate to New York",None Found,None Found
542,Data Scientist,"Morrisville, NC","
MS or PhD in Statistics or related (e.g., Mathematics, Physics, Ops Research).
Relevant work experience including statistical software (R, S-Plus, SAS, or similar), databases (Terradata or similar) and scripting languages (such as Python).Demonstrated willingness to both teach others and learn new techniquesExperience articulating business questions, pulling from datasets and using statistics to arrive at an answer. Experience translating analysis results into business recommendations.Deep interest and aptitude in data, metrics, analysis and trends, and applied knowledge of measurement, statistics and program evaluation.Demonstrated problem solving skills and impeccable business judgment. Effective written and verbal communication skills.","
MS or PhD in Statistics or related (e.g., Mathematics, Physics, Ops Research).
Relevant work experience including statistical software (R, S-Plus, SAS, or similar), databases (Terradata or similar) and scripting languages (such as Python).Demonstrated willingness to both teach others and learn new techniquesExperience articulating business questions, pulling from datasets and using statistics to arrive at an answer. Experience translating analysis results into business recommendations.Deep interest and aptitude in data, metrics, analysis and trends, and applied knowledge of measurement, statistics and program evaluation.Demonstrated problem solving skills and impeccable business judgment. Effective written and verbal communication skills.","Research and develop methods for measuring and analyzing marketing spend effectivenessResearch new ways for modeling customer behaviorWork with Senior Director of Enterprise Analytics to design experiments to answer targeted questionsFormulate a roadmap of project activity that leads to measurable improvement in business performance metrics/key performance indicators over time.Conduct end-to-end analysis that includes data gathering and requirements specification, analysis, ongoing scaled deliverables and presentations.Work with Senior Director of Enterprise Analytics to architect, develop and automate analytics solutionsHelp formulate business recommendations (cost-benefit, invest-divest, forecasting, impact analysis) with effective presentations of findings at multiple levels of stakeholders through displays of quantitative informationDevelop comprehensive understanding of Affordable Care data structures and metrics, advocating for changes where needed for both products and sales activityCreatively explore how to use data to continually add value and translate ad hoc questions into flexible methodologies that scale to answer broad problems across the organization
",None Found,None Found
543,Data Scientist,"Austin, TX 78758",None Found,None Found,None Found,None Found,None Found
544,Intern Conversion - CIO Data Scientist,United States,None Found,None Found,"Experience with User Experience (UX) design
Minimum of 1-year experience using problem solving skills such as: Analyze causes using existing techniques or tools, prepare and recommend solution alternatives
Ability to absorb professional knowledge quickly and develop skills
Ability to draw upon professional concepts to collaborate with others to carry out assigned duties
Ability to challenge the validity of given procedures and processes with the intent to enhance and improve
Bachelor of Science in Business Information Technology, Management Information Systems, or a similar degree program",None Found,None Found
545,Data Scientist,"Waltham, MA",None Found,None Found,None Found,None Found,None Found
546,Data Scientist II,"Herndon, VA 20170",None Found,None Found,None Found,None Found,None Found
547,Staff Data Scientist,"San Francisco, CA 94104",None Found,None Found,"
Build a data/stats-driven ad machine learning models, working closely with the product team
Constantly experiment and improve machine learning models for the recommendation/ad optimization system
Invent and analyze big data for given business cases and help implement them in production
Work with the product/engineering team to implement, test and deploy the solution on Google Cloud Platform Core
",None Found,"
Ph. D in Computer Science or Statistics or similar working experience applied technical field five years or more.
Must be hands-on Machine-learning related industry projects
Solid programming skill of scripting language Python
Ability to work in a fast paced, test-driven collaborative and iterative programming environment
Understand major recommendation algorithms (Collaborative Filtering, Matrix factorization, Gradient Boosting, etc.)
Solid understanding of Algorithms, Data Structures and Machine Learning / Data Mining
Understanding of RDBMS, SQL and NoSQL alternatives
Understand various ad optimization algorithms (CTR prediction, eCPM optimization, user targeting and segmentation, RTB and real-time optimization) is a plus
Experience with Hadoop/Hbase/Pig or PySpark is a plus
"
548,Data Scientist,Florida,"B.S. degree in computer science or related discipline. M.S. degree strongly preferred.
Three or more (3+) years of experience in two (2) or more of the following: system/software architecture and development, virtual machine technology, distributed processing, data analytics, machine learning, and/or natural language processing.
Ability to contribute to machine learning research and design and develop advanced algorithms
Passion for developing efficient, testable, scalable, and well-documented code
Excellent analytical, problem solving and organizational skills. Ability to work successfully in small team environments, and communicate effectively
Ability to pay close attention to detail, meet deadlines, balance multiple tasks, work under pressure, and work with frequent interruptions.
",None Found,"Develop strategies to extract, resolve, and unify information of various types from numerous disparate data sources
Build scalable, stable, and efficient applications to collect, organize, manipulate, analyze and present information from large structured and unstructured datasets
Enhancing data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Design, code, validate, automate, and scale software in a collaborative environment
Doing ad-hoc analysis and presenting results in a clear manner
Attends meetings, submits work progress reports, and performs related duties as required
",None Found,"B.S. degree in computer science or related discipline. M.S. degree strongly preferred.
Three or more (3+) years of experience in two (2) or more of the following: system/software architecture and development, virtual machine technology, distributed processing, data analytics, machine learning, and/or natural language processing.
Ability to contribute to machine learning research and design and develop advanced algorithms
Passion for developing efficient, testable, scalable, and well-documented code
Excellent analytical, problem solving and organizational skills. Ability to work successfully in small team environments, and communicate effectively
Ability to pay close attention to detail, meet deadlines, balance multiple tasks, work under pressure, and work with frequent interruptions.
"
549,DATA ARCHITECT,"Madison, WI",None Found,None Found,None Found,None Found,None Found
550,"Open Source Data Scientist, Mid","Dayton, OH 45420",None Found,None Found,None Found,None Found,None Found
551,Data Scientist,"San Francisco, CA 94105",None Found,None Found,None Found,None Found,None Found
552,Jr Data Scientist,"Irving, TX","
Exceptional problem-solving abilities with an understanding of statistical methods.
Excellent communication skills, both written and verbal, and especially the ability to communicate data clearly to clients.
Accuracy with work, strong organizational skills, attention to detail and the ability to multi-task.","
Exceptional problem-solving abilities with an understanding of statistical methods.
Excellent communication skills, both written and verbal, and especially the ability to communicate data clearly to clients.
Accuracy with work, strong organizational skills, attention to detail and the ability to multi-task.","Design, develop, test, validate, and deploy Predictive Analytics/Machine Learning (ML) /Statistical models as part of new product development and/or projects.
Work closely with senior data scientists and engineers to deploy models to production both in batch and real-time.
Build data sets from multiple data sources and write data flows using Python and R, SQL/Spark.
Use data visualization tools (e.g., Tableau, Kibana, Zeppelin) to share ongoing insights.
Present findings to technical audiences.
Stay up-to-date on ML, Big Data technologies sharing learnings with the teams.","
B.S. or M.S. in Stats, CS, Math, Physics, Economics, or other quantitative field preferred",None Found
553,Data Scientist,"Dallas, TX 75231","University degree in Computer Science, Mathematics, Engineering, or other technical or scientific field; or some other type of university degree coupled with a suitable intensive data science program postgraduation.
2+ years of professional experience or relevant internships
Demonstrated aptitude in designing and implementing data driven models using machine learning techniques such as Decision Trees, Random Forest, Support Vector Machines, and Neural Networks.
Fluency in a statistical programming language such as Python or R.
Proven creative problem-solving skills.
Strong written communication skills.
Must be eligible to work in the us without sponsorship.
",None Found,"Design, build and optimize data-driven models using machine learning and analytical techniques.
Collect, clean, and regularize data using industry best practices, and apply and recommend Hypergiant data quality standards.
Evaluate and recommend 3rd party data science tools and services.
Conceive and create insightful visualizations of data and models.
Collaborate with engineers to deploy models into production.
Document and present model plans and results, workflows, best practices, and recommendations.
",None Found,None Found
554,Senior Data Scientist (US Remote),United States,None Found,"Fluent in both machine learning and statistics
Ability to identify scientific literature relevant to a problem and apply it to some of the toughest security problems out there.
Fluency in python and SQL-like database query languages is a must
Must be able to work both independently and as part of a team on a wide range of problems with light guidance and support, contribute to academic and industry publications, and effectively represent Sophos to the larger scientific community.
",None Found,None Found,None Found
555,Data Scientist 5,"Richfield, MN",None Found,None Found,None Found,None Found,None Found
556,Sr Data Scientist,"Bedford, MA 01730",None Found,None Found,None Found,None Found,None Found
557,Data Scientist,"Lehi, UT 84043",None Found,None Found,None Found,None Found,None Found
558,Linked Data Consultant / Field Application Scientist - Junior,"Boston, MA",None Found,None Found,None Found,None Found,None Found
559,Data Scientist,"Upper Marlboro, MD",None Found,None Found,None Found,None Found,None Found
560,Data Scientist (NLP),"New York, NY 10004",None Found,"
Strong statistical analysis background with a deep understanding of a variety of ML algorithms and statistical modeling techniques
Enthusiastic about making sense of unstructured data using NLP or graph-based techniques
Ability to code a proof of concept in a short period of time (in a programming language of their choice)
Have at least 2 years of industry experience in NLP or sequence modeling (classic random-field or markovian techniques as well as modern attention-based ones)
Willingness to stay abreast of and evaluate recent advances in NLP and sequence modeling in general
Experience with relevant software tools, such as Python, PyTorch, Gensim, Spacy, scikit-learn, statsmodels, and/or others. You'll be free to use whatever tools you feel are appropriate
Comfortable extracting data using SQL, Apache Spark or other distributed compute engine
Accustomed to working with GIT and shared codebases
Extensive data cleaning and textual data manipulation experience
Strong communication skills. Experience presenting experimental to people who are not Data Scientists
Ability to collaborate with the team and translate existing research into practical solutions and products
Ability to build and maintain relationships with various collaborators across the company, and take ownership of data science projects",None Found,None Found,None Found
561,Data Scientist,"Plano, TX 75024","3+ years of experience manipulating data sets and building statistical models
Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
The ability to think analytically, solve problems to complex business processes, and document results.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
Master’s or PhD in Data Science, Statistics, Mathematics, Computer Science or another quantitative field.",None Found,"Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques, business insights and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
Develop company A/B testing framework and test model quality.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Work with leadership and the analytics team to develop and monitor key performance indicators, highlighting trends and variances.
Other ad-hoc reporting and analysis.",None Found,None Found
562,Data Scientist,"Palo Alto, CA","You have a Master’s /Ph.D. in Computer Science, Machine Learning or equivalent field.
You have experience in building products from scratch using machine learning.
You have proven experience in developing algorithms using Python or C++ or Scala in one or more of the following fields: machine learning, data analytics, information retrieval.
You have experience applying statistics, probability, and machine learning to real business problems.
You have experience in Natural Language Processing such as topic extraction, building knowledge graph (ontology).
You have experience in building machine learning models for time series data.
You have experience with Deep Learning frameworks (TensorFlow), applications, or services.
You have excellent knowledge in an optimal computational environment required for data processing, mining and machine learning
Your knowledge in one or more of the following data center supportability technologies will be a big plus – networking, storage, supportability (e.g. incident management, systems diagnostics).
You are smart, get things done, have great energy and thrive in a fast-paced early-stage startup environment.
You have a passion for creating customer value by applying cutting edge innovations in data science & technology.
",None Found,"Advance the Machine Learning capabilities of the product.
Analyze, select and implement Machine Learning/AI algorithms that improve the relevance of related incidents, the accuracy of resolutions and routing of incidents.
Experiment with multiple algorithms simultaneously to identify the optimal algorithm.
Enhance the experimentation platform by incorporating implicit and explicit feedback from users.
Understand the data by interacting with the Subject Matter Experts.
",None Found,None Found
563,Data Scientist,"Richardson, TX","
Advanced Degree in MS Mathematics, Statistics or MBA preferred.
Experience working with large volumes of data, preferably in auto, healthcare, retail or e-commerce industry
Must have 5+ years’ experience in Predictive Modeling & Data Mining; Competitive/Customer Intelligence; Statistical Model Development; Analytics (Predictive Analytics); Big Data; and High Performance Computing
Minimum 3 years of experience in IT industry with a focus on Statistics or Analytics
Strong Python, and R skills. Scala is a plus.
Preferred disciplines of study include Economics/Econometrics, Statistics, Management Sciences, Decision Sciences, or Mathematics.",None Found,"
Provide data/report support for complex data mining projects.
Conceptualize problems, apply appropriate theory, explore approaches, simulate, and implement with minimal supervision.
Define data needs, evaluate data quality, and extract/transform data for analytic projects and research.
Leverage R, Python, SQL, & Excel to dig into data to extract meaning from information.
Interface closely with Marketing Systems and Operations to understand/define requirements, domain knowledge/models, and data needs.
Produce appropriate and effective project deliverables including: sample diagnostics, customer profiles, complex queries, data mining, model algorithms, charts, model score distributions, etc., with some supervision and zero defect.
Demonstrate a strong understanding of project scope, data extraction methodology, design of dependent and profile variables, logic and design of data cleaning, exploratory data analysis and statistical methods.
Produce timely and error-free deliverables in an efficient manner, managing multiple tasks and varying project scopes.","
Advanced Degree in MS Mathematics, Statistics or MBA preferred.
Experience working with large volumes of data, preferably in auto, healthcare, retail or e-commerce industry
Must have 5+ years’ experience in Predictive Modeling & Data Mining; Competitive/Customer Intelligence; Statistical Model Development; Analytics (Predictive Analytics); Big Data; and High Performance Computing
Minimum 3 years of experience in IT industry with a focus on Statistics or Analytics
Strong Python, and R skills. Scala is a plus.
Preferred disciplines of study include Economics/Econometrics, Statistics, Management Sciences, Decision Sciences, or Mathematics.",None Found
564,Data Scientist,"Boston, MA 02210",None Found,None Found,None Found,None Found,None Found
565,Research and Data Analyst,"Pembroke, NC",None Found,None Found,None Found,None Found,None Found
566,Data Scientist - Decision science,"Dearborn, MI",None Found,None Found,None Found,None Found,None Found
567,Sr. Data Scientist,"Bentonville, AR","
6+ years of overall experience working with data science methodologies & techniques
Excellent understanding of machine learning techniques and algorithms, such as dimensionality reduction, clustering, linear/logistic regression, Bayesian methods, time series modeling, parametric modeling (SEM, GLM, GLMM, etc.), tree-based learners (RF, GBM, XGBOOST, CATBOOST, etc.), neural networks (ANN, CNN, RNN, etc.),
MS/Ph.D. degree in a quantitative discipline: computer science, applied mathematics, statistics, operations research, management of information systems, engineering, or equivalent
Expert-level proficiency in R/Python with intermediate- to expert-level proficiency in SQL
Proven track record of discovering effective solutions to complex problems. Ability to break a problem into small problems and think of relevant techniques that can be explored & used to address them. Strong skills in data structures and algorithms
Exhibits a passion for learning and the ability to be adaptable and quickly learn and apply new languages, tools, and platforms",None Found,"
Conceptualize, design and develop high-quality solutions and insightful analyses using advanced AIML techniques
Conduct research and prototype innovations; data and requirements gathering; solution scoping and architecture; consulting clients and client-facing teams on advanced statistical and machine learning methodologies
Hands-on delivery AIML based solutions around a host of problems in retail industry
Be a trusted thought leader & partner for client's AIML needs
Coaching & grooming the team on the latest developments in the field of data science
Author, publish & present data science specific white papers/articles in industry leading journals & conferences
100% traveling required.",None Found,None Found
568,Data Scientist,"Chicago, IL",None Found,None Found,None Found,None Found,None Found
569,Cyber Intelligence Data Scientist,"Houston, TX",None Found,None Found,None Found,None Found,None Found
570,Data Scientist,"San Francisco, CA",None Found,None Found,None Found,None Found,"
Ph.D. and/or another advanced academic study in a relevant data-centric field
Excellent written and verbal communication skills, with a successful track record of collaboration and influence within a fast-paced environment
Passion for data science advocacy and education"
571,Data Scientist,"Estero, FL 33928",None Found,"
Working experience with a statistical programming language (like SAS, R, Octave, Python etc.)
Experience with machine learning (regression, classification, neural networks). Preferably also have experience with constrained mathematical optimization models (Linear Programming, CPLEX).
Preferably also have experience with SQL databases","Enhance optimization of midterm planning
Create modeling and data analytics around logistics and short term planning.",Masters with 3+ years of experience as data scientist,Masters with 3+ years of experience as data scientist
572,"Summer Internship 2020 - Data Scientist (Houston, TX)","Houston, TX",None Found,None Found,None Found,None Found,None Found
573,DATA SCIENTIST,"Atlanta, GA 30346",None Found,None Found,None Found,None Found,None Found
574,"Data Scientist (PYTHON, HADOOP)","Johns Creek, GA 30097",None Found,None Found,None Found,None Found,None Found
575,Big DATA Architect (SPARK ),"Deerfield, IL",None Found,None Found,None Found,None Found,None Found
576,Data Scientist,"Chicago, IL",None Found,None Found,None Found,None Found,None Found
577,Data Scientist Engineer,United States,"PhD, MS, or 3+ years experience in computer science, applied mathematics, or other quantitative/computational discipline.
Data engineering experience, including SQL and manipulating large raw data for analysis
Experience building and optimizing data pipelines and architectures
Build processes supporting data extraction, transformation and loading to big data system.
Knowledge with different type machine learning algorithms is plus
Preferred:
Experience with relational SQL and NoSQL databases, including Postgres and SQL server
Experience working with unstructured data and Natural Language Processing
Experience with data pipeline and workflow management tools: Airflow, Luigi, etc
Experience with Google or AWS cloud services
Experience with object-oriented/object function scripting languages: Python, Java, Scala, etc",None Found,"Process large and complex raw data sets that meets business needs.
Build the workflows required for optimal extraction, transformation, and loading of data from a wide variety of data sources.
Work with BI team to create Looker reports that utilize the data pipeline to provide actionable insights into key business performance metrics.
Reframe newsroom and business objectives as machine learning tasks that can deliver actionable insights, accurate predictions, and effective optimization
Implement and execute machine learning research with reliability and reproducibility
Turn models into data products, collaborate with other teams, and integrate into process throughout Hearst Newspaper",None Found,None Found
578,"Research Scientist, Digital Wellbeing","Seattle, WA",None Found,None Found,"
Design, implement and evaluate methods of improving products for social wellbeing; Develop solutions for real world, large scale problems.
Work with teams of product managers/ UX designers across multiple product areas.
Support the strategic planning of the team by providing research leadership as well as mentor and support the team of researchers.
Work with external collaborators and maintain relationships with relevant individuals.
Report and present research findings and developments including status and results. Suggest and engage in team collaborations to meet research goals.
",None Found,None Found
579,Data Scientist - You Make Data Sing,"Vienna, VA 22182","Data science is a dynamic and evolving profession – we’re looking for people who love to learn and find unique solutions without being micro-managed: you’ll have the freedom to try new things, test solutions and technologies, and tell us when there’s a better path.
You know your way around a cloud console and have handled some pretty large volumes of data.
You are familiar with a few machine learning frameworks, like TensorFlow or PyTorch.
Maybe you have used enterprise products in the past for high throughput data ingestion and analysis.
Ultimately, we need someone who knows their way around data modeling, information extraction, time series forecasting, machine learning algorithms, statistical analysis, or applied mathematics. We realize that data scientists are a diverse breed and we are excited to hear how your unique combination of skills might apply to our current problem sets.",None Found,"Data science is a dynamic and evolving profession – we’re looking for people who love to learn and find unique solutions without being micro-managed: you’ll have the freedom to try new things, test solutions and technologies, and tell us when there’s a better path.
You know your way around a cloud console and have handled some pretty large volumes of data.
You are familiar with a few machine learning frameworks, like TensorFlow or PyTorch.
Maybe you have used enterprise products in the past for high throughput data ingestion and analysis.
Ultimately, we need someone who knows their way around data modeling, information extraction, time series forecasting, machine learning algorithms, statistical analysis, or applied mathematics. We realize that data scientists are a diverse breed and we are excited to hear how your unique combination of skills might apply to our current problem sets.",None Found,None Found
580,Data Scientist,"Boston, MA 02134","
Master’s Degree, or Bachelor’s Degree with 3 years of experience, in engineering, computer science, statistics, bioinformatics, or other related fields.
Strong background in statistical analysis, machine learning, and data mining, including regression analysis, classification, predictive modeling, feature engineering, hypothesis testing etc.
Solid understanding of probability theory and statistics.
Experience in manipulating large data sets of time-series and intermittent data.
Strong communication and organization skills.
Proven ability to contribute to emerging or cross-disciplinary fields.
Experience performing independent research.
",None Found,"
Manipulate large clinical data sets.
Mine patient data for critical events, outcome variables, and treatment actions.
Perform statistical analysis to understand the relationships between clinical variables and Etiometry’s Risk AnalyticsTM
Develop models for prediction and classification utilizing machine learning techniques, such as logistic regression, SVMs, neural networks, decision trees etc.
Provide data mining and data analysis support, including data cleaning, to data customers, such as Etiometry’s research and development teams and research collaborators from partnering hospitals.
Research current advances in data science and statistical analysis methods.
Publish analysis findings at data science conferences and in journals.
",None Found,None Found
581,Data Scientist,"Washington, DC","
Experience with programming languages such as, but not limited to: R, SAS, Python, MatLab, SQL, Hive, Pig, and Spark.
Experiece with using the Microsoft Office suite, including Access, Excel, PowerPoint, Project, Visio, and Word.
",None Found,"Handles raw data (e.g. structured, unstructured, and mixed datasets), and analyzes data through the application of various statistical techniques or tools.
Familiar with programming languages such as, but not limited to: R, SAS, Python, MatLab, SQL, Hive, Pig, and Spark.
Experienced in working with and exploiting big data; distributed computing; predictive modelling; mathematics; statistics; machine learning; story-telling; and visualization.
Demonstrates ability to extract meaning from and interpret data using a variety of tools and methods from statistics and machine learning.
Ability to collect, clean, and mung data in a timely manner as part of a cross-functional team in an intelligence, or related, environment.
Possesses strong working knowledge of the Microsoft Office suite, including Access, Excel, PowerPoint, Project, Visio, and Word.",None Found,None Found
582,Data Scientist,"Boston, MA",None Found,None Found,None Found,None Found,None Found
583,Data Scientist,"Redwood City, CA 94065","2 years of industry experience in a Data Science or Analytics role.
Experience with visualization software.
Working knowledge of SQL and Python/R.
Working experience of Machine Learning and predictive analytics.
Familiarity with the Hadoop framework, including the ability to interact with data through Hive, Pig, or MapReduce preferred.
Strong communication skills, both written and oral, and an ability to convey complex results in a clear manner.
Data Science or Analytics experience in gaming or marketing strongly preferred.
",None Found,None Found,"Major in a quantitative field, such as Computer Science, Applied Mathematics, or Statistics, or equivalent professional experience.",None Found
584,Data Scientist,"San Francisco, CA",None Found,None Found,None Found,None Found,None Found
585,Data Scientist,"Edison, NJ",None Found,None Found,None Found,None Found,None Found
586,Data Scientist Engineer,United States,"PhD, MS, or 3+ years experience in computer science, applied mathematics, or other quantitative/computational discipline.
Data engineering experience, including SQL and manipulating large raw data for analysis
Experience building and optimizing data pipelines and architectures
Build processes supporting data extraction, transformation and loading to big data system.
Knowledge with different type machine learning algorithms is plus
Preferred:
Experience with relational SQL and NoSQL databases, including Postgres and SQL server
Experience working with unstructured data and Natural Language Processing
Experience with data pipeline and workflow management tools: Airflow, Luigi, etc
Experience with Google or AWS cloud services
Experience with object-oriented/object function scripting languages: Python, Java, Scala, etc",None Found,"Process large and complex raw data sets that meets business needs.
Build the workflows required for optimal extraction, transformation, and loading of data from a wide variety of data sources.
Work with BI team to create Looker reports that utilize the data pipeline to provide actionable insights into key business performance metrics.
Reframe newsroom and business objectives as machine learning tasks that can deliver actionable insights, accurate predictions, and effective optimization
Implement and execute machine learning research with reliability and reproducibility
Turn models into data products, collaborate with other teams, and integrate into process throughout Hearst Newspaper",None Found,None Found
587,Data Scientist - Experimentation,"Seattle, WA",None Found,None Found,None Found,None Found,None Found
588,"Data Scientist, Political","Chicago, IL",None Found,None Found,None Found,None Found,None Found
589,Data Scientist,"New York, NY",None Found,None Found,None Found,None Found,None Found
590,Data Scientist,"Tampa, FL 33602","Masters degree in Computer Science, Statistics, or similar area of study preferred.
Prior experience collaborating with business unit managers on data science initiative
Experience working in Agile-based teams
",None Found,"Executing on defined data science problems
Work with Big Data coming from numerous sources
Extract, clean, transform and process very large amounts of structured and unstructured data to prepare for data science initiatives (data wrangling)
Apply machine learning, time series and other data science techniques to forecast sales volumes, usage of products, membership benefits, etc.
Build deployable machine learning models that can support solutions for cross sell, sentiment analysis, improved customer experience, etc.
Research new machine learning solutions for complex business problems
Create data visualizations to illustrate findings in BI tools such as Tableau
Communicate findings to business partners",None Found,None Found
591,Data Scientist,"Alpharetta, GA 30004",None Found,"
Demonstrated skills in large scale data manipulation, modeling, and forecasting
Ability to translate complex quantitative methods into easily understood results for all levels of business customers
Strong problem formulation and problem solving skills
Strong understanding of analysis and computational complexity and ability to programmatically solve problems
Demonstrated skills in conducting complex predictive and statistical analysis in a business setting
Strong programming skills in SAS, R, and/or Python
Experience with implementing various machine learning algorithms
Experience with business intelligence tools such as Tableau
Ability to handle multiple projects within a given timeframe
Good collaboration and communications skills","
Perform data analyses on and discover new uses for existing data sources
Develop and evaluate the performance of predictive statistical models and machine learning algorithms
Perform analyses using statistical packages / languages such as SAS, R, or Python
Create and interpret strategic and operational analyses, assess options objectively, and present conclusions and recommendations to all levels of management
Develop subject matter expertise on source systems data and metadata
Partner with management and business units on innovative ways to successfully utilize data and related tools to advance business objectives and develop new products and services
Gain and master a comprehensive understanding of operations, processes, and business objectives and utilize that knowledge for data analysis and business insight",None Found,"
Master’s degree in quantitative field such as Statistics, Economics, Applied Mathematics, Operations Research, or related decision science fields."
592,DATA SCIENTIST,"Needham, MA 02494",None Found,None Found,"
Design and iterate statistical methods and data models to optimize audience development and engagement, digital advertising and sales.
Perform ad-hoc data querying and analysis to understand customers’ engagement and conversion factors.
Define opportunities for enriching and evolving our 25 years of data and vast external data from social networks, industry publications, search engines and website analytics tools.
Manipulate structured and unstructured data from heterogenous sources.
Collaborate with developers, data scientists and business stakeholders to provide data structure and quality recommendations, understand datasets and maximize business impact of your work.
Document and present model process and performance for cross-functional team evaluation and use. Design methods for validating performance of findings.",None Found,"
Advanced degree in computer science, analytical engineering or relevant mathematics discipline and three years of business experience in analytics, machine learning, or statistics role
Expertise in big data analytics, statistical modeling, machine learning and relevant technologies
Strong proficiency in querying and manipulating data for analytics purposes using SQL
Experience with programming languages, including Python
Demonstrated history of employing real data and AI models to solve real marketing challenges
Keen ability to collaborate with and articulate solutions to team members and business stakeholders
Proficiency in data manipulation, cleansing and interpretation"
593,Data Analyst Intern,"Morrisville, NC 27560",None Found,None Found,None Found,None Found,None Found
594,DATA SCIENTIST,"Chicago, IL",None Found,None Found,None Found,None Found,None Found
595,Jr. Data Scientist/Report Writer,"Suitland, MD","Ability to pass public trust US Census Bureau background check
Bachelor’s Degree in a related field",None Found,None Found,None Found,None Found
596,"Data Scientist, Machine Learning","Durham, NC 27713",None Found,None Found,None Found,None Found,None Found
597,Data Scientist,"Boston, MA",None Found,None Found,None Found,None Found,None Found
598,Data Scientist,"Charlotte, NC","BS/BA or Master’s Degree in an Applied Science
3+ years of relevant experience, preferably in a high-tech environment
Practical statistical programming language experience with R or Python.
Strong background in statistics, modeling and optimization as demonstrated by either industry experience or coursework/academic research.
Outstanding attention to detail and ability to deliver timely and accurate products in a fast-paced and dynamic environment.
Experience AWS or Azure exposure preferred. An idea of how to connect cloud programs to applied business solutions.
",None Found,None Found,None Found,"Language Skills: Ability to read, analyze, and interpret general business periodicals, professional journals, technical procedures, or governmental regulations. Ability to write reports, business correspondence, and technical documentation. Ability to effectively present information and respond to questions from groups of managers, clients, and customers.
Mathematical Skills: Ability to understand advanced statistical concepts required for predictive analytics.
Reasoning Ability: Ability to solve practical problems and deal with a variety of concrete variables in situations where only limited standardization exists. Ability to interpret a variety of instructions furnished in written, oral, diagram, or schedule form.
Computer Skills: To perform this job successfully, an individual should have knowledge of machine learning programming.
Other Skills: High energy level, great interpersonal skills needed for this position.
"
599,Data Scientist (Artificial Intelligence/Machine Learning),"Birmingham, AL",None Found,None Found,None Found,None Found,"Bachelor’s degree from an accredited institution in Computer Science, Data Science, or related field highly preferred
Minimum of 2 years of relevant Data Analytics or Software Development experience in Python highly preferred; knowledge of healthcare and EMR software is a plus
The candidate must possess excellent interpersonal and problem solving skills, must demonstrate efficiency, punctuality and professional communication via phone and email.
Proficiency in basic computer operation within a Windows environment, and have a basic knowledge of .Net programming."
600,Associate Data Scientist (BS / MS),"Spring, TX",None Found,None Found,"Apply statistical analysis, pattern recognition, and machine learning – along with domain knowledge and subject-specific models – to solve science, engineering, and commercial problems.
Contribute to data science or decision modeling projects:
Design experiments and/or run simulations to generate new data in support of analytic studies.
Retrieve and combine data from databases, data historians, and/or data lakes; there is a strong emphasis on programming, particularly using scripting languages.
Perform exploratory data analysis for quality control and improved understanding.
Build, analyze, and compare statistical and/or machine learning models.
Deploy data-analytic products to end-users and/or document data-analytic results in technical reports.
",None Found,"MS (exceptional BS candidates will be considered) in one of the following disciplines: Engineering/Sciences, Mathematics, Statistics or Computer Science with significant experience in data analytics.
Experience in Python, Scala, Java, C, C++ or R is required
Knowledge of statistics, linear algebra, multiple variable calculus, Fourier analysis or machine learning
Experience using one or more of the following software packages: scikit-learn, numpy, pandas, jupyter, matplotlib, scipy, nltk, spacy, keras, tensorflow
Experience solving problems using one or more of the following techniques: Regression, Support Vector Machines, Decision trees, random forest, Boosting, PCA, KMeans
Experience in using SQL/No SQL databases is an advantage
Experience working in Linux and in a High Performance Computing environment is an advantage
"
601,Data Scientist,"Chicago, IL",None Found,None Found,None Found,None Found,None Found
602,Data Scientist,"Lewisville, TX 75067",None Found,None Found,None Found,None Found,None Found
